event id,format,event type,link,date
272,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-057795,2024-01-05
273,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-057803,2024-01-05
274,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-057811,2024-01-05
275,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-057819,2024-01-05
281,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-047779,2024-01-04
282,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-047787,2024-01-04
283,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-047795,2024-01-04
284,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-047803,2024-01-04
285,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-047811,2024-01-04
286,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-047819,2024-01-04
292,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-037779,2024-01-03
293,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-037787,2024-01-03
294,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-037795,2024-01-03
295,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-037803,2024-01-03
296,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-037811,2024-01-03
297,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-037819,2024-01-03
305,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-027779,2024-01-02
306,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-027787,2024-01-02
307,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-027795,2024-01-02
308,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-027803,2024-01-02
309,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-027811,2024-01-02
310,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-027819,2024-01-02
317,Legacy,League,https://www.mtgo.com/decklist/legacy-league-2024-01-017779,2024-01-01
318,Modern,League,https://www.mtgo.com/decklist/modern-league-2024-01-017787,2024-01-01
319,Pauper,League,https://www.mtgo.com/decklist/pauper-league-2024-01-017795,2024-01-01
320,Pioneer,League,https://www.mtgo.com/decklist/pioneer-league-2024-01-017803,2024-01-01
321,Standard,League,https://www.mtgo.com/decklist/standard-league-2024-01-017811,2024-01-01
322,Vintage,League,https://www.mtgo.com/decklist/vintage-league-2024-01-017819,2024-01-01
